rank,player_name,team,position,player_projection,adp
198,Michael Penix,ATL,QB,117.18,253.6
199,Jalen Nailor,LV,WR,124.4,222
T200,Emanuel Wilson,SEA,RB,12.49,173.1
203,Braelon Allen,NYJ,RB,94.64,161.8
204,Dontayvion Wicks,PHI,WR,55.82,209.5
205,Darnell Washington,PIT,TE,72.96,305.9
206,Marvin Mims,DEN,WR,67.56,249.1
207,Ja'Kobi Lane,BAL,WR,60.76,264.1
208,Cade Otton,TB,TE,108.39,240.5
209,Mason Taylor,NYJ,TE,64.33,244.6
210,Pat Bryant,DEN,WR,61.11,199.1
211,Colby Parkinson,LAR,TE,71.42,258.9
212,Gunnar Helm,TEN,TE,129.4,229.6
213,Tre' Harris,LAC,WR,112.44,177.3
214,Chimere Dike,TEN,WR,30.83,208.1
215,Terrance Ferguson,LAR,TE,88.6,244.1
216,Kimani Vidal,LAC,RB,91.14,199.4
217,Adonai Mitchell,NYJ,WR,70.07,170.7
218,Zachariah Branch,ATL,WR,57.47,253.1
219,Chris Bell,MIA,WR,118.73,237.6
220,Isaac TeSlaa,DET,WR,60.23,214.8
221,Geno Smith,NYJ,QB,228.63,243
222,Jacoby Brissett,ARI,QB,207.66,177.6
223,Jake Tonges,SF,TE,62.57,274.2
224,Troy Franklin,DEN,WR,48.85,190.4
225,Theo Johnson,NYG,TE,53.11,265.9
226,Tre Tucker,LV,WR,156.38,197.6
227,Calvin Ridley,TEN,WR,156.73,208.9
228,Pat Freiermuth,PIT,TE,146.69,257.6
229,Malik Washington,MIA,WR,109.46,246.1
230,Elijah Sarratt,BAL,WR,40.29,257.9
231,Germie Bernard,PIT,WR,128.26,235.9
232,Darnell Mooney,NYG,WR,94.94,210
233,Tua Tagovailoa,ATL,QB,123.83,291.7
234,Shedeur Sanders,CLE,QB,108.71,278.1
235,Evan Engram,DEN,TE,102.1,251.2
236,Chris Brazzell,CAR,WR,51.04,260.1
237,Kaleb Johnson,PIT,RB,4.82,247.9
238,Cooper Kupp,SEA,WR,95,251.9
239,Christian Kirk,SF,WR,82.11,246.7
241,Ryan Flournoy,DAL,WR,89.3,209.6
242,Tory Horton,SEA,WR,63.4,257.1
243,Jaydon Blue,DAL,RB,56.02,271.9
248,Kendre Miller,NO,RB,15.66,260.4
259,Luke Musgrave,GB,TE,31.6,350.8
270,DeMario Douglas,NE,WR,17.98,335
273,Michael Mayer,LV,TE,81.13,337.6
283,Ted Hurst,TB,WR,67.06,277.1
284,Max Klare,LAR,TE,9.41,325.5
286,Ray Davis,BUF,RB,37.88,198.5
292,Jordan James,SF,RB,65.28,277.2
293,KaVontae Turpin,DAL,WR,30.98,309
295,Skyler Bell,BUF,WR,59.37,266.9
296,Mike Gesicki,CIN,TE,115.14,276.4
297,Jaylen Wright,MIA,RB,39.58,224.4
302,Greg Dulcich,MIA,TE,115.92,241.9
304,Devaughn Vele,NO,WR,125.81,283.7
305,Jaylin Noel,HOU,WR,21.83,187.7
306,Ty Simpson,LAR,QB,9.67,320
307,Keon Coleman,BUF,WR,74.59,259
308,Dawson Knox,BUF,TE,66.28,350.6
309,Rashod Bateman,BAL,WR,49.38,243.1
310,Justice Hill,BAL,RB,111.56,275.3
312,Elijah Arroyo,SEA,TE,58.71,314.9
313,Tyler Higbee,LAR,TE,45,306.8
315,J.J. McCarthy,MIN,QB,9.83,311
316,Hollywood Brown,PHI,WR,67.75,293.8
317,Brashard Smith,KC,RB,44.81,260.9
318,LeQuint Allen,JAX,RB,54.15,274.1
319,Ollie Gordon,MIA,RB,30.86,244.5
328,Tanner McKee,PHI,QB,9.46,
354,Malik Davis,DAL,RB,25.09,300.9
367,Deshaun Watson,CLE,QB,117.43,290.2
